Estacao,AnoMes,Precipitacao
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-03,27.6
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-04,31.6
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-05,46.6
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-06,40.4
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-07,17.8
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-08,77.8
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-09,5.0
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-10,81.2
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-11,66.4
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-12,70.0
INMET_S_RS_A828_ERECHIM_01-01-2024_A_31-12-2024,2024-01,4.4
INMET_S_RS_A828_ERECHIM_01-01-2024_A_31-12-2024,2024-02,258.4
INMET_S_RS_A828_ERECHIM_01-01-2024_A_31-12-2024,2024-03,31.0
INMET_S_RS_A828_ERECHIM_01-01-2024_A_31-12-2024,2024-04,77.6
INMET_S_RS_A828_ERECHIM_01-01-2024_A_31-12-2024,2024-05,29.2
INMET_S_RS_A828_ERECHIM_01-01-2024_A_31-12-2024,2024-06,12.8
INMET_S_RS_A828_ERECHIM_01-01-2024_A_31-12-2024,2024-07,224.0
INMET_S_RS_A828_ERECHIM_01-01-2024_A_31-12-2024,2024-08,84.39999999999999
INMET_S_RS_A828_ERECHIM_01-01-2024_A_31-12-2024,2024-09,68.0
